probeID, clientIP, clientName, serverIP, serverName, IPvX, Number of Hops, Average, Median, tunnel avg, tunnel med, tunnel hops
13805,196.35.211.26,,31.13.64.52,instagram-p3-shv-01-amt2.fbcdn.net,4,12, 1882.19966667,1878.293
13805,196.35.211.26,,175.100.207.206,,4,15, 3387.80733333,3378.762
13805,196.35.211.26,,184.27.32.215,a184-27-32-215.deploy.static.akamaitechnologies.com,4,14, 2532.12666667,2530.768
13805,196.35.211.26,,185.63.144.1,,4,11, 1133.022,1129.644
13805,196.35.211.26,,54.171.226.127,ec2-54-171-226-127.eu-west-1.compute.amazonaws.com,4,255, 852.593,850.722
11236,41.75.79.4,,216.58.211.100,ams15s32-in-f4.1e100.net,4,15, 1514.94066667,1504.574
11236,41.75.79.4,,31.13.64.35,edge-star-mini-shv-01-amt2.facebook.com,4,13, 1310.17433333,1308.503
11236,41.75.79.4,,103.235.46.39,,4,12, 2007.70233333,2007.658
11236,41.75.79.4,,91.198.174.192,text-lb.esams.wikimedia.org,4,13, 1469.38166667,1465.954
11236,41.75.79.4,,188.125.80.145,media-router-fp2.prod.media.vip.ir2.yahoo.com,4,11, 991.713,989.307
11236,41.75.79.4,,151.101.37.140,,4,12, 844.141,843.106
11236,41.75.79.4,,54.230.130.232,server-54-230-130-232.ams50.r.cloudfront.net,4,255, 693.991333333,688.057
11236,41.75.79.4,,104.244.42.129,,4,8, 272.358333333,272.049
11236,41.75.79.4,,95.213.11.181,srv181-11-213-95.vk.com,4,13, 1296.01266667,1286.611
11236,41.75.79.4,,157.56.198.220,origin.du131w.dub131.mail.live.com,4,17, 1305.89933333,1303.351
11236,41.75.79.4,,31.13.64.52,instagram-p3-shv-01-amt2.fbcdn.net,4,13, 1324.87,1319.367
11236,41.75.79.4,,175.100.207.206,,4,14, 2689.17933333,2680.41
11236,41.75.79.4,,184.27.32.215,a184-27-32-215.deploy.static.akamaitechnologies.com,4,9, 698.223666667,692.351
11236,41.75.79.4,,91.225.248.129,,4,13, 1009.01266667,1007.963
11236,41.75.79.4,,54.171.226.127,ec2-54-171-226-127.eu-west-1.compute.amazonaws.com,4,255, 545.754,544.282
6277,101.53.31.1,ci53.31-1.netnam.vn,172.217.19.196,ams16s31-in-f4.1e100.net,4,18, 2906.69733333,2886.504
6277,101.53.31.1,ci53.31-1.netnam.vn,31.13.64.35,edge-star-mini-shv-01-amt2.facebook.com,4,19, 2610.09033333,2602.011
6277,101.53.31.1,ci53.31-1.netnam.vn,103.235.46.39,,4,9, 312.228666667,301.623
6277,101.53.31.1,ci53.31-1.netnam.vn,91.198.174.192,text-lb.esams.wikimedia.org,4,12, 2371.71866667,2366.938
6277,101.53.31.1,ci53.31-1.netnam.vn,188.125.80.145,media-router-fp2.prod.media.vip.ir2.yahoo.com,4,10, 1940.674,1929.204
6277,101.53.31.1,ci53.31-1.netnam.vn,151.101.37.140,,4,16, 1748.553,1733.471
6277,101.53.31.1,ci53.31-1.netnam.vn,54.230.130.232,server-54-230-130-232.ams50.r.cloudfront.net,4,13, 1477.06866667,1477.111
6277,101.53.31.1,ci53.31-1.netnam.vn,104.244.42.65,,4,6, 297.293,296.806
6277,101.53.31.1,ci53.31-1.netnam.vn,95.213.11.181,srv181-11-213-95.vk.com,4,17, 2823.368,2822.437
6277,101.53.31.1,ci53.31-1.netnam.vn,157.56.198.220,origin.du131w.dub131.mail.live.com,4,25, 2405.88233333,2386.235
6277,101.53.31.1,ci53.31-1.netnam.vn,31.13.64.52,instagram-p3-shv-01-amt2.fbcdn.net,4,19, 2482.37833333,2468.274
6277,101.53.31.1,ci53.31-1.netnam.vn,175.100.207.206,,4,11, 289.279666667,282.399
6277,101.53.31.1,ci53.31-1.netnam.vn,184.27.32.215,a184-27-32-215.deploy.static.akamaitechnologies.com,4,12, 1534.35966667,1523.66
6277,101.53.31.1,ci53.31-1.netnam.vn,91.225.248.129,,4,10, 1262.57966667,1254.878
6277,101.53.31.1,ci53.31-1.netnam.vn,52.44.176.20,ec2-52-44-176-20.compute-1.amazonaws.com,4,255, 1640.14,1595.419
33144,41.191.236.140,,172.217.19.196,ams16s31-in-f4.1e100.net,4,18, 1198.94333333,1182.964
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2a00:1450:4007:80a::2004,par10s28-in-x04.1e100.net,6,16, 1004.07233333,975.159
33144,41.191.236.140,,31.13.64.35,edge-star-mini-shv-01-amt2.facebook.com,4,16, 1363.18533333,1341.493
33144,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,2a03:2880:f106:83:face:b00c:0:25de,edge-star-mini6-shv-01-amt2.facebook.com,6,16, 1180.589,1152.493
